state,total
Alabama,621305
Alaska,87623
Arizona,310672
Arkansas,234282
California,1474616
Colorado,413284
Connecticut,270297
Delaware,42950
District of Columbia,512
Florida,1034546
Georgia,484580
Guam,2060
Hawaii,15225
Idaho,131742
Illinois,1344096
Indiana,647550
Iowa,127022
Kansas,172167
Kentucky,2492184
Louisiana,315357
Maine,83085
Mariana Islands,12
Maryland,142207
Massachusetts,179344
Michigan,424091
Minnesota,481122
Mississippi,214829
Missouri,517063
Montana,121836
Nebraska,68568
Nevada,116735
New Hampshire,124677
New Jersey,92320
New Mexico,139780
New York,365427
North Carolina,1182349
North Dakota,70548
Ohio,596389
Oklahoma,348495
Oregon,243044
Pennsylvania,899241
Puerto Rico,16118
Rhode Island,20400
South Carolina,289764
South Dakota,83659
Tennessee,533394
Texas,1465992
Utah,263812
Vermont,31502
Virgin Islands,1271
Virginia,419764
Washington,482115
West Virginia,221847
Wisconsin,334308
Wyoming,63063
